"Source:","C:\Users\abhin\OneDrive - IIT Dharwad\Documents\KiCad\6.0\projects\RnD_6th_sem\RnD_6th_sem.kicad_sch"
"Date:","20-01-2023 11:07:00 AM"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C2","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C4","2.2nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C5","2.2nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C6","100nF/630V","Device:C","","~","","","","","",""
"","","C7","100nF/630V","Device:C","","~","","","","","",""
"","","C8","1uF/450V","Device:C","","~","","","","","",""
"","","C9","1uF/450V","Device:C","","~","","","","","",""
"","","C10","220uF/450V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.8","~","","","","","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C14","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","C15","10uF/35V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.8","~","","","","","",""
"","","C16","10uF/35V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.8","~","","","","","",""
"","","D1","BAT165","Device:D_Schottky","Diode_SMD:D_SOD-323","~","","","","","",""
"","","D2","BAT165","Device:D_Schottky","Diode_SMD:D_SOD-323","~","","","","","",""
"","","D5","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","D6","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","D7","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"","","FB3","fb","Device:FerriteBead_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","FB4","fb","Device:FerriteBead_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","H1","MountingHole","Mechanical:MountingHole","","~","","","","","",""
"","","H2","MountingHole","Mechanical:MountingHole","","~","","","","","",""
"","","H3","MountingHole","Mechanical:MountingHole","","~","","","","","",""
"","","H4","MountingHole","Mechanical:MountingHole","","~","","","","","",""
"","","J1","HVDC1","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","~","","","","","",""
"","","J2","PWM","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"","","J3","HVDC2","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","~","","","","","",""
"","","J4","3.3V","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","",""
"","","J5","5V","Connector:Conn_01x02_Male","","~","","","","","",""
"","","J6","5V","Connector:Conn_01x02_Male","","~","","","","","",""
"","","J7","GND2","Connector:Conn_01x02_Male","","~","","","","","",""
"","","J8","GND1","Connector:Conn_01x02_Male","","~","","","","","",""
"","","Q1","IGLD60R190D1","Transistor_FET:IGLD60R190D1","Package_SON:Infineon_PG-LSON-8-1","https://www.infineon.com/dgdl/Infineon-IGLD60R190D1-DataSheet-v02_00-EN.pdf?fileId=5546d46269e1c019016a6d78ff5e2aba","","","","","",""
"","","Q2","IGLD60R190D1","Transistor_FET:IGLD60R190D1","Package_SON:Infineon_PG-LSON-8-1","https://www.infineon.com/dgdl/Infineon-IGLD60R190D1-DataSheet-v02_00-EN.pdf?fileId=5546d46269e1c019016a6d78ff5e2aba","","","","","",""
"","","R1","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R2","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R3","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R4","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R5","5.1","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R6","5.1","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R7","WSLP3921L1000FEA","WSLP3921L1000FEA:WSLP3921L1000FEA","footprint:RESC10052X50N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/cd369b67f640568f5c60fc944b86acf3.pdf","Current Sense Resistors - SMD 9W 0.0001ohm 1%","0.5","Vishay","WSLP3921L1000FEA","71-WSLP3921L1000FEA","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/WSLP3921L1000FEA?qs=TiOZkKH1s2S5b3T%252BuIp%2FVQ%3D%3D"
"","","R8","500k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R9","WSLP3921L1000FEA","WSLP3921L1000FEA:WSLP3921L1000FEA","footprint:RESC10052X50N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/cd369b67f640568f5c60fc944b86acf3.pdf","Current Sense Resistors - SMD 9W 0.0001ohm 1%","0.5","Vishay","WSLP3921L1000FEA","71-WSLP3921L1000FEA","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/WSLP3921L1000FEA?qs=TiOZkKH1s2S5b3T%252BuIp%2FVQ%3D%3D"
"","","R10","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R11","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R12","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R13","100","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R14","100","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R15","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R16","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R17","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R18","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R19","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R20","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R21","NC","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","R22","NC","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"","","U1","2EDF7275K","2EDF7275K:2EDF7275K","footprint:TFLGA65P500X500X106-14_13N-V","","","","","","",""
"","","U2","LS05","DC-DC Powersupply:LS05","","","","","","","",""
"","","U3","LS05","DC-DC Powersupply:LS05","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","3","C1, C13, C14","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"2","2","C2, C3","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"3","2","C4, C5","2.2nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"4","2","C6, C7","100nF/630V","Device:C","","~","","","","","",""
"5","2","C8, C9","1uF/450V","Device:C","","~","","","","","",""
"6","1","C10","220uF/450V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.8","~","","","","","",""
"7","2","C15, C16","10uF/35V","Device:C_Polarized","Capacitor_SMD:CP_Elec_4x5.8","~","","","","","",""
"8","2","D1, D2","BAT165","Device:D_Schottky","Diode_SMD:D_SOD-323","~","","","","","",""
"9","3","D5, D6, D7","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","",""
"10","2","FB3, FB4","fb","Device:FerriteBead_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"11","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","","~","","","","","",""
"12","1","J1","HVDC1","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","~","","","","","",""
"13","1","J2","PWM","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~","","","","","",""
"14","1","J3","HVDC2","Connector:Conn_01x03_Male","Connector_Molex:Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical","~","","","","","",""
"15","1","J4","3.3V","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~","","","","","",""
"16","2","J5, J6","5V","Connector:Conn_01x02_Male","","~","","","","","",""
"17","1","J7","GND2","Connector:Conn_01x02_Male","","~","","","","","",""
"18","1","J8","GND1","Connector:Conn_01x02_Male","","~","","","","","",""
"19","2","Q1, Q2","IGLD60R190D1","Transistor_FET:IGLD60R190D1","Package_SON:Infineon_PG-LSON-8-1","https://www.infineon.com/dgdl/Infineon-IGLD60R190D1-DataSheet-v02_00-EN.pdf?fileId=5546d46269e1c019016a6d78ff5e2aba","","","","","",""
"20","2","R1, R3","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"21","2","R2, R4","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"22","2","R5, R6","5.1","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"23","2","R7, R9","WSLP3921L1000FEA","WSLP3921L1000FEA:WSLP3921L1000FEA","footprint:RESC10052X50N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/cd369b67f640568f5c60fc944b86acf3.pdf","Current Sense Resistors - SMD 9W 0.0001ohm 1%","0.5","Vishay","WSLP3921L1000FEA","71-WSLP3921L1000FEA","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/WSLP3921L1000FEA?qs=TiOZkKH1s2S5b3T%252BuIp%2FVQ%3D%3D"
"24","1","R8","500k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"25","3","R10, R11, R12","4.7k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"26","2","R13, R14","100","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"27","2","R15, R16","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"28","4","R17, R18, R19, R20","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"29","2","R21, R22","NC","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","",""
"30","1","U1","2EDF7275K","2EDF7275K:2EDF7275K","footprint:TFLGA65P500X500X106-14_13N-V","","","","","","",""
"31","2","U2, U3","LS05","DC-DC Powersupply:LS05","","","","","","","",""
